17:06:45 COMOLM   !!!!!!!!!!!!!!!!!!!!Processou a mensagem!!!!!!!!!!!!!!!!!!!!!


17:06:45 COMOLM   Message Body send                                 :I[          0]H[       0]

17:06:45 COMOLM   Message Body send                                 :I[          4]H[       4]

17:06:45 COMOLM   Message Body send                                 :I[          0]H[       0]

17:06:45 COMOLM   Message Body send                                 :I[          1]H[       1]

17:06:45 COMOLM   Message Body send                                 :I[         17]H[      11]

17:06:45 COMOLM   Message Body send                                 :I[          0]H[       0]

17:06:45 COMOLM   Message Body send                                 :I[          6]H[       6]

17:06:45 COMOLM   Message Body send                                 :I[          5]H[       5]

17:06:45 COMOLM   Message Body send                                 :I[          2]H[       2]

17:06:45 COMOLM   Message Body send                                 :I[          1]H[       1]

17:06:45 COMOLM   Message Body send                                 :I[        150]H[      96]

17:06:45 COMOLM   Message Body send                                 :I[         11]H[       B]

17:06:45 COMOLM   Message Body send                                 :I[          0]H[       0]

17:06:45 COMOLM   Message Body send                                 :I[          4]H[       4]

17:06:45 COMOLM   Message Body send                                 :I[          1]H[       1]

17:06:45 COMOLM   Message Body send                                 :I[          3]H[       3]

17:06:45 COMOLM   Message Body send                                 :I[         12]H[       C]

17:06:45 COMOLM   Message Body send                                 :I[          0]H[       0]

17:06:45 COMOLM   Message Body send                                 :I[          4]H[       4]

17:06:45 COMOLM   Message Body send                                 :I[          1]H[       1]

17:06:45 COMOLM   Message Body send                                 :I[          4]H[       4]

17:06:45 COMOLM   Message Body send                                 :I[          0]H[       0]

17:06:45 COMOLM   !!!!!!!!!!!!!!!!!!!!Vai tentar enviar mensagem para MessageQ!!!!!!!!!!!!!!!!!!!!!
